unified_id,kg_id,hgnc_id,symbol,entrez_id,ensembl_gene_id,uniprot_ids,refseq_accession,symbol_in_kg,biogrid_id
7917,58810,HGNC:25754,VPS37B,79720,ENSG00000139722,Q9H9H4,NM_024667,VPS37B,122836
7918,58811,HGNC:13994,PRDM9,56979,ENSG00000164256,Q9NQV7,NM_020227,PRDM9,121297
7919,91579,HGNC:6887,MAPKAPK2,9261,ENSG00000162889,P49137,NM_004759,MAPKAPK2,114683
7920,58812,HGNC:11763,TFRC,7037,ENSG00000072274,P02786,NM_001128148,TFRC,112895
7921,26048,HGNC:16844,CREB5,9586,ENSG00000146592,Q02930,NM_004904,CREB5,114954
7922,58818,HGNC:25524,FAM193B,54540,ENSG00000146067,Q96PV7,NM_019057,FAM193B,120027
7923,91595,HGNC:22474,MED13,9969,ENSG00000108510,Q9UHV7,NM_005121,MED13,115294
7924,58833,HGNC:21517,DUS4L,11062,ENSG00000105865,O95620,NM_181581,DUS4L,116246
7925,91602,HGNC:22938,NLRP12,91662,ENSG00000142405,P59046,NM_144687,NLRP12,124861
7926,26072,HGNC:1867,CETN2,1069,ENSG00000147400,P41208,NM_004344,CETN2,107496
7927,91608,HGNC:28845,MED25,81857,ENSG00000104973,Q71SY5,NM_030973,MED25,123607
7928,91610,HGNC:20273,EMC9,51016,ENSG00000100908,Q9Y3B6,NM_016049,EMC9,119223
7929,91612,HGNC:1712,CDA,978,ENSG00000158825,P32320,NM_001785,CDA,107416
7930,58849,HGNC:19297,TNK2,10188,ENSG00000061938,Q07912,NM_005781,TNK2,115485
7931,91623,HGNC:9824,RAD52,5893,ENSG00000002016,P43351,NM_134424,RAD52,111830
7932,58861,HGNC:4556,GPX4,2879,ENSG00000167468,P36969,NM_002085,GPX4,109137
7933,91639,HGNC:20862,SLC39A8,64116,ENSG00000138821,Q9C0K1,NM_022154,SLC39A8,122072
7934,58873,HGNC:16815,PHOSPHO1,162466,ENSG00000173868,Q8TCT1,NM_001143804,PHOSPHO1,127819
7935,58874,HGNC:3379,EPB41L2,2037,ENSG00000079819,O43491,NM_001135554,EPB41L2,108351
